weekday,count,mean,std,min,25%,50%,75%,max
0,353.0,1.5495750708215297,1.8007120090055406,0.0,0.0,1.0,2.0,13.0
1,354.0,1.9491525423728813,2.0035978585861973,0.0,1.0,1.5,3.0,14.0
2,354.0,1.6299435028248588,1.654697664047804,0.0,0.0,1.0,2.0,11.0
3,354.0,1.6384180790960452,2.138092074038438,0.0,0.0,1.0,2.0,27.0
4,354.0,1.5649717514124293,1.7994377857566575,0.0,0.0,1.0,2.0,12.0
5,354.0,0.4858757062146893,0.9007855849533217,0.0,0.0,0.0,1.0,5.0
6,353.0,0.042492917847025496,0.3629214095690199,0.0,0.0,0.0,0.0,6.0
