weekday,count,mean,std,min,25%,50%,75%,max
0,353.0,2.039660056657224,2.3593652598876607,0.0,0.0,1.0,3.0,13.0
1,354.0,2.5395480225988702,2.8223843854975406,0.0,1.0,2.0,3.0,28.0
2,354.0,2.494350282485876,2.4624596173418927,0.0,1.0,2.0,3.0,19.0
3,354.0,2.3700564971751414,2.7142069824427977,0.0,1.0,2.0,3.0,24.0
4,354.0,2.1129943502824857,2.5930175504545194,0.0,1.0,1.0,3.0,22.0
5,354.0,1.1779661016949152,1.5146013935302944,0.0,0.0,1.0,2.0,11.0
6,353.0,0.036827195467422094,0.20310967745650935,0.0,0.0,0.0,0.0,2.0
