weekday,count,mean,std,min,25%,50%,75%,max
0,353.0,6.651558073654391,5.567800498855483,0.0,3.0,6.0,9.0,48.0
1,354.0,8.898305084745763,9.246749521995481,0.0,5.0,7.0,11.0,133.0
2,354.0,7.940677966101695,5.259216714072111,0.0,4.0,7.0,10.0,28.0
3,354.0,7.576271186440678,4.977126341889809,0.0,4.0,7.0,10.0,32.0
4,354.0,6.7824858757062145,5.006582469497458,0.0,4.0,5.5,9.0,45.0
5,354.0,2.9293785310734464,2.8737526981612973,0.0,1.0,2.0,4.0,23.0
6,353.0,0.11614730878186968,0.48335346191743184,0.0,0.0,0.0,0.0,6.0
