weekday,count,mean,std,min,25%,50%,75%,max
0,353.0,1.4504249291784703,1.9345706860636471,0.0,0.0,1.0,2.0,11.0
1,354.0,1.7542372881355932,2.1630548668798415,0.0,0.0,1.0,2.0,19.0
2,354.0,1.5960451977401129,2.028992733032638,0.0,0.0,1.0,2.0,14.0
3,354.0,1.652542372881356,2.2695563155172573,0.0,0.0,1.0,2.0,14.0
4,354.0,1.2994350282485876,1.7750712286754944,0.0,0.0,1.0,2.0,16.0
5,354.0,0.07909604519774012,0.43820814234597416,0.0,0.0,0.0,0.0,5.0
6,353.0,0.08781869688385269,0.4531381123388089,0.0,0.0,0.0,0.0,6.0
