category,tickets
Barcode sticker request (Research centers only),2
Call number error,9
Cataloging Request for a Free Internet Resource,17
Cataloging error,21
Duplicate records,1
Electronic resource,85
Item attached to wrong bib record,5
Item not linked,1
Item record problem,6
Location code error,3
OCLC Holdings,4
Online Catalog,20
Other,44
Status of request,1
Volume record needed,1
