weekday,count,mean,std,min,25%,50%,75%,max
0,353.0,2.6487252124645893,2.626591469052625,0.0,1.0,2.0,4.0,13.0
1,354.0,3.2288135593220337,3.0716035166410536,0.0,1.0,3.0,4.0,30.0
2,354.0,3.0819209039548023,2.7474553221603384,0.0,1.0,2.0,4.0,20.0
3,354.0,3.0112994350282487,2.929751075804106,0.0,1.0,3.0,4.0,24.0
4,354.0,2.6977401129943503,2.8086562835698228,0.0,1.0,2.0,4.0,22.0
5,354.0,1.615819209039548,2.0307490436462587,0.0,0.0,1.0,2.0,23.0
6,353.0,0.04815864022662889,0.22726950808948546,0.0,0.0,0.0,0.0,2.0
