category,tickets
Barcodes for circulating materials,2
Call number error,159
Call number missing,21
Cataloging Request for a Free Internet Resource,1
Cataloging error,78
Damaged material / missing pieces,1
Electronic resource,15
Item attached to wrong bib record,24
Item not linked,48
Item record problem,11
Leased items,2
Location code error,1
OCLC Holdings,1
Online Catalog,2
Other,50
Spine labels,19
