weekday,count,mean,std,min,25%,50%,75%,max
0,353.0,1.9405099150141643,3.0140535923287466,0.0,0.0,1.0,3.0,34.0
1,354.0,3.3022598870056497,7.973869895523607,0.0,1.0,2.0,4.0,120.0
2,354.0,2.7824858757062145,3.4821484903526296,0.0,1.0,2.0,4.0,22.0
3,354.0,2.4350282485875705,2.939910797107706,0.0,0.0,1.0,3.0,17.0
4,354.0,2.096045197740113,3.223820013075314,0.0,0.0,1.0,3.0,38.0
5,354.0,0.6581920903954802,1.2703206560664302,0.0,0.0,0.0,1.0,9.0
6,353.0,0.019830028328611898,0.1756577719480064,0.0,0.0,0.0,0.0,2.0
