category,tickets
Barcodes for circulating materials,3
Call number error,194
Call number missing,4
Cataloging error,103
Collection HQ,10
Damaged material / missing pieces,2
Electronic resource,28
Holds fulfillment--NYPL only,7
Item attached to wrong bib record,27
Item not linked,34
Item record problem,24
Location code error,7
OCLC Holdings,1
Online Catalog,25
Other,121
Spine labels,50
Volume record needed,3
