weekday,count,mean,std,min,25%,50%,75%,max
0,353.0,2.453257790368272,3.924529051632225,0.0,0.0,2.0,3.0,38.0
1,354.0,3.7203389830508473,8.036621836090276,0.0,1.0,2.0,4.0,120.0
2,354.0,3.2288135593220337,3.644416779018612,0.0,1.0,2.0,4.0,22.0
3,354.0,2.926553672316384,3.271514275212396,0.0,1.0,2.0,4.0,17.0
4,354.0,2.519774011299435,3.5982217759310546,0.0,0.0,2.0,3.0,42.0
5,354.0,0.827683615819209,1.5612959501943904,0.0,0.0,0.0,1.0,13.0
6,353.0,0.025495750708215296,0.2048456891758713,0.0,0.0,0.0,0.0,2.0
